CARIMBO DE DATA/HORA,LINK DA CASA,VALOR DA CASA,BAIRRO,VALOR DO IMÓVEL ,NÚMERO DE QUARTOS,NÚMERO DE BANHEIROS,TAMANHO DO TERRENO,TEM EDÍCULA?,ZONA,EDICULA,Preço da area,,,,BAIRROS
6/25/2023 12:04:00,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/23284,170000,Vila Moreira,Até 250 mil,2,1,200,Não,CENTRO,0,R$ 850.00,,,,"Vila Moreira, São José do Rio Preto"
6/25/2023 12:04:33,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/23118,360000,Vila Moreira,350-400 mil,2,2,363,Sim,CENTRO,1,R$ 991.74,,,,"Vila Moreira, São José do Rio Preto"
6/25/2023 12:05:15,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/22235,140000,Vila Moreira,Até 250 mil,2,2,121,Sim,CENTRO,1,"R$ 1,157.02",,,,"Vila Moreira, São José do Rio Preto"
6/25/2023 12:05:51,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/22170,1500000,Vila Moreira,Mais que 400 mil,4,4,250,Sim,CENTRO,1,"R$ 6,000.00",,,,"Vila Moreira, São José do Rio Preto"
6/25/2023 12:06:29,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/18306,600000,Vila Moreira,Mais que 400 mil,4,4,363,Sim,CENTRO,1,"R$ 1,652.89",,,,"Vila Moreira, São José do Rio Preto"
6/25/2023 12:07:09,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/16766,780000,Vila Moreira,Mais que 400 mil,2,1,484,Sim,CENTRO,1,"R$ 1,611.57",,,,"Vila Moreira, São José do Rio Preto"
6/25/2023 12:07:48,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/5956,420000,Vila Moreira,Mais que 400 mil,3,2,374,Não,CENTRO,0,"R$ 1,122.99",,,,"Vila Moreira, São José do Rio Preto"
6/25/2023 12:08:20,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/1157,400000,Vila Moreira,350-400 mil,3,1,484,Sim,CENTRO,1,R$ 826.45,,,,"Vila Moreira, São José do Rio Preto"
6/25/2023 12:11:15,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Santa-Cruz/21826,320000,Vila Santa Cruz,300-350 mil,4,2,330,Sim,CENTRO,1,R$ 969.70,,,,"Vila Santa Cruz, São José do Rio Preto"
6/25/2023 12:11:59,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Santa-Cruz/19339,530000,Vila Santa Cruz,Mais que 400 mil,4,2,484,Não,CENTRO,0,"R$ 1,095.04",,,,"Vila Santa Cruz, São José do Rio Preto"
